X,Y,Z
-100,-535,3963
-79,-573,3841
-29,-560,3722
-60,-568,3714
-188,-619,3795
-288,-627,3647
-285,-627,3376
-197,-537,3065
-221,-456,2878
-269,-464,2851
-236,-468,2721
-240,-399,2499
-144,-511,2350
-112,-508,2437
-153,-465,2512
-137,-481,2424
-99,-465,2165
-44,-390,2033
-189,13,2145
-48,134,1939
80,-434,1651
240,-421,1523
199,-512,1990
-65,-316,2381
-267,-4,2389
-233,85,1916
-15,8,1538
72,-58,1290
62,-186,1418
-8,-363,1679
24,-549,1809
4,-384,1525
-11,-250,1039
-59,53,1072
158,83,1413
242,-290,2068
-140,-538,3030
-535,-532,3725
-446,-619,3954
-179,-949,3690
354,-936,3202
661,-884,2952
376,-793,3419
-17,-904,3971
-307,-846,3178
-234,-453,1836
-598,492,957
-1090,1396,447
-1235,1998,-412
-1249,2349,-1656
-946,1836,-2802
-337,858,-3429
240,50,-3454
225,-257,-2938
16,-700,-2711
201,-502,-2980
491,-165,-3000
726,305,-2383
280,-384,-1459
488,283,-29
-240,0,395
-20,-101,640
201,246,1121
-215,344,1753
-643,-165,2136
-2,-617,1347
1912,187,824
2865,955,2049
1989,1014,3598
2611,666,4356
3740,302,4768
2965,494,4977
1433,1000,4825
100,1580,4918
-1588,1066,4191
-1700,-106,1679
-267,-302,-807
641,696,-1926
-17,1332,-1922
-1007,1572,-2026
-1353,1331,-2574
-910,604,-3339
156,-8,-3759
648,-249,-3573
282,-187,-2987
-394,36,-2523
-569,49,-2353
-270,-148,-2448
43,-344,-2569
234,-465,-2348
218,-260,-1797
-63,8,-890
-313,-188,63
-114,-982,659
510,-969,290
1500,-204,488
2179,-466,2809
2025,-730,5852
1468,-678,7111
1930,-385,5393
2983,644,4094
1992,440,5141
461,48,5151
26,-329,4142
22,-653,2507
-126,-823,452
-232,-462,-1122
-293,-343,-1325
-476,-349,-1009
-934,-125,-946
-1134,310,-1824
-816,678,-3176
-338,1004,-3917
22,1007,-4025
-107,937,-3366
-560,557,-2567
-521,88,-2296
-83,-257,-2498
347,-351,-2860
556,-32,-2829
91,-44,-2151
-186,-348,-1255
31,-574,-431
415,-445,80
708,-217,609
990,-186,1219
2011,-199,1856
1936,-329,3809
328,-61,5714
-916,-363,5041
163,-299,1970
1687,-92,-561
2057,460,-1298
957,467,-234
-217,130,1023
-825,-305,1023
-492,-374,109
159,-362,-830
507,-354,-1088
285,58,-611
-511,482,95
-927,357,417
-416,55,290
287,-116,-19
378,-170,-206
-38,-110,9
-364,20,229
-498,119,268
-323,-82,287
-69,-292,403
18,-506,559
-146,-425,666
-539,-94,755
-902,47,573
-798,164,80
-337,121,-352
-99,49,-425
-164,89,-228
-335,149,91
-439,131,297
-374,26,429
-326,-83,525
-497,-14,444
-764,248,306
-901,339,177
-817,253,198
-561,126,234
-355,-140,148
-230,-283,-53
-137,-237,-300
-60,-118,-558
-93,-26,-641
-137,-49,-608
-172,-70,-600
-208,-29,-723
-205,108,-783
-263,333,-776
-292,173,-755
-70,-51,-463
62,-238,349
-139,-101,1228
-256,62,1791
302,-90,2154
856,-349,2567
1211,-190,3225
1279,91,3620
1115,330,3950
363,154,4290
-177,-380,4062
215,-771,2516
441,-1185,739
-73,-854,-651
-758,88,-1826
-1032,1049,-2661
-823,1348,-3606
-562,1107,-4444
-310,771,-4556
-117,338,-4015
-183,-180,-3226
-421,-338,-2677
-740,-193,-2566
-776,9,-2852
-684,337,-3309
-504,487,-3326
-427,378,-3138
-325,101,-2959
19,-416,-2621
56,-693,-2079
-43,-398,-1132
-265,-406,-60
-335,-793,981
5,-1166,1643
909,-622,1661
2103,-120,1850
2875,-997,3243
3067,-1238,5195
1916,-473,6272
746,37,5897
1429,-269,4048
2251,-762,2736
1071,-552,1762
-689,138,753
-1728,78,-170
-1635,-1058,-265
-776,-1012,-328
-600,41,-652
-854,856,-1213
-1133,1166,-1950
-1191,945,-2728
-835,572,-3105
-373,563,-3213
-280,675,-2977
-398,566,-2561
-542,299,-2372
-203,135,-2453
125,225,-2442
375,191,-1945
375,229,-1120
-1,305,-282
-368,110,756
-330,-282,1582
211,-346,1804
1342,-611,2740
2229,-1016,4561
1223,-767,6110
-63,-324,5971
130,-63,4054
1439,145,2043
2045,392,1849
577,114,3339
-1081,-146,2597
-1312,36,492
-860,-169,-963
-219,-28,-1480
-214,406,-2323
-277,872,-3364
-414,1105,-4068
-321,908,-4197
-469,515,-3844
-265,390,-3091
-266,216,-2641
-154,95,-1760
-63,47,-965
-220,170,-412
-54,491,108
26,704,466
-224,826,510
-713,1001,501
-1187,851,831
-1134,881,1055
-741,824,900
116,758,469
898,850,354
936,727,444
817,472,550
884,-240,660
1231,-819,1257
963,-792,1897
-181,-155,1779
-1294,801,1159
-1600,1237,360
-1080,770,-444
-123,-147,-919
764,-140,-1079
337,437,-567
-1047,329,-88
-1187,-100,35
-392,-491,-33
-25,-450,-146
-80,-367,-316
-310,-326,-336
-327,-457,-285
-53,-619,-21
113,-600,64
214,-371,-97
182,-52,-326
106,33,-329
150,-199,186
-61,-545,964
-491,-575,1270
-807,-285,1043
-765,-64,610
-486,65,375
-332,258,303
-532,404,329
-683,294,237
-263,166,161
-8,250,43
-31,387,84
-117,370,202
2,291,381
82,-27,543
215,-124,552
192,-34,439
16,49,275
-70,58,-70
-33,46,-652
2,140,-1212
-24,185,-1644
-112,315,-2013
-328,375,-2192
-107,-141,-2080
440,-353,-1485
331,231,-580
-389,464,111
-838,9,333
-576,-187,-26
-46,200,-524
15,549,-323
96,625,488
138,509,1732
429,361,2937
415,98,3743
-139,-414,3385
718,-173,2337
1882,-81,2689
1355,0,3625
135,285,3870
-283,471,3063
44,480,1526
281,81,750
-4,-721,373
-171,-939,-349
-382,-464,-1138
-661,177,-1680
-897,216,-2462
-785,-23,-3578
-82,-260,-4302
550,111,-4257
217,278,-3551
-370,207,-2754
-454,-49,-2447
-203,-449,-2565
145,-493,-2947
78,-251,-3326
-14,-66,-3428
-38,-219,-3111
143,-540,-2366
105,-714,-1684
9,-728,-1084
-212,-486,-523
-428,-458,-138
-198,-638,281
423,-311,647
1275,-31,1152
2188,-135,2314
2438,-322,3811
2130,-1,4737
1519,699,5244
1620,759,5869
2137,292,6589
1719,15,6827
954,-30,5769
508,278,3528
291,706,598
374,264,-1419
587,-371,-2139
-41,-826,-2107
-905,-741,-1903
-1276,-298,-1890
-1074,-96,-2086
-490,11,-2605
-241,174,-3224
-443,398,-3678
-695,738,-3989
-946,917,-4130
-832,827,-3924
-563,488,-3470
-187,-68,-2955
-59,-338,-2488
-191,-101,-2297
-384,116,-2133
-422,-71,-1786
-405,-444,-1326
-150,-395,-502
-212,-647,538
-196,-408,951
-260,-280,1024
-381,-899,1752
464,-1968,3247
2465,-1838,5180
1896,-480,6386
-138,273,7529
-1067,-261,7392
420,-1243,5725
2060,-1447,4057
2036,-1056,3251
780,-289,3133
-808,132,2537
-1839,395,937
-1467,-380,-621
-403,-1137,-1430
-224,-739,-1925
-796,203,-2558
-1290,1047,-3635
-1176,1374,-4783
-534,1261,-5398
75,1102,-5112
-33,685,-4425
-426,751,-3486
-675,642,-2684
-730,282,-2508
-525,217,-2743
-381,292,-2898
-122,377,-2595
-167,112,-2069
-305,-321,-1991
-233,-536,-2101
97,14,-1493
50,50,-168
-104,-730,893
303,-732,1278
1306,-8,2471
1680,-364,5600
1262,-1129,7796
1577,-726,6992
1905,365,6212
724,1348,7031
-645,1099,6346
205,-9,4777
1345,-1427,3256
1174,-1727,1069
200,-877,-1604
-572,550,-2435
-638,1645,-909
-1467,1497,-230
-1823,233,-1753
-1347,-222,-3910
-878,272,-5158
-678,749,-5294
-887,603,-4771
-811,344,-4154
-556,-190,-3882
-80,-60,-3604
157,-484,-3130
1054,480,-1765
436,427,-659
-64,-468,-29
430,-60,-188
256,725,-913
-491,868,-804
-701,235,336
-520,219,811
-672,964,641
-869,844,296
142,271,454
1802,-733,1868
2322,-590,4271
101,-491,5890
-1353,-1714,7081
-1129,-2731,7288
-608,-2169,5298
-135,-1704,2824
188,-1032,1118
147,295,284
-888,971,120
-1366,529,-265
-608,-490,-1033
309,-580,-2516
773,193,-3789
383,941,-3973
-308,1808,-3358
-990,1869,-2706
-830,1053,-2798
-257,325,-3739
558,154,-3844
735,146,-3160
216,341,-1851
-145,390,-962
-258,258,-1484
-76,-27,-2016
50,-252,-1835
159,-226,-582
-249,136,530
-763,-22,604
-811,-355,-176
390,232,731
1163,533,3460
1150,-277,6096
1844,-1041,5995
3137,-1087,5771
2885,-307,7017
1684,437,7463
910,370,6968
557,-1087,5417
1077,-2276,3166
820,-1962,896
-620,-782,-860
-1232,244,-1539
-1039,931,-1856
-809,882,-2714
-460,390,-4059
-243,933,-5166
-326,1664,-5110
-1074,1828,-3731
-1452,1572,-2576
-1442,872,-3109
-851,-210,-4158
-192,-482,-4472
74,-90,-4174
-576,423,-3413
-1330,673,-2922
-1288,407,-3266
-263,-688,-3029
654,-1211,-1889
112,-909,-1294
-672,-634,-527
-412,-992,862
309,-1883,1341
1352,-1994,87
2685,-1473,-73
2959,-1699,2277
2091,-2800,4972
1643,-3434,5384
1488,-2429,4372
1396,-1511,4618
1018,-1023,5280
-88,-444,4656
-1272,-801,2649
-720,-1501,-413
202,-1262,-2821
-355,-1187,-1148
-1626,-606,1281
-2277,-528,2435
-2047,-580,1872
-1162,105,-176
-362,1042,-2442
0,1147,-3462
-437,1033,-3377
-709,1215,-3297
-739,1397,-3451
-689,1471,-3667
-463,1261,-3786
-99,1023,-3568
-184,640,-3042
-340,586,-2340
-523,690,-1818
-623,604,-1408
-640,204,-942
-447,-196,-407
-192,-727,503
-345,-710,888
-171,-528,1244
493,-815,2047
1838,-1360,3055
2619,-1958,4831
1884,-2003,6450
951,-1599,6532
1084,-1559,5358
1903,-1347,4624
1595,-760,4610
452,-650,4724
116,-901,3533
625,-725,1156
726,-233,-795
156,-5,-1488
-460,140,-1311
-868,269,-943
-1056,625,-1673
-922,769,-3307
84,801,-4090
655,1211,-4152
223,1631,-3835
-623,1693,-2859
-998,1447,-2776
-811,928,-3266
-25,396,-3070
97,687,-2956
-393,1157,-2720
-1002,1440,-2528
-1389,1507,-3210
-1183,978,-3512
-302,340,-2966
3,-125,-1846
-449,-367,-580
-894,-260,987
-1171,-175,2055
-559,-395,1518
1044,-1062,1060
2529,-1253,1794
1757,-738,3438
157,-736,4533
-255,-1094,4644
404,-1432,4377
919,-1315,4102
341,-577,3791
-336,182,2861
-536,594,1362
-322,542,-2
113,132,-830
608,-244,-926
656,-459,-442
103,-274,-72
-556,276,-246
-952,560,-646
-877,434,-1086
-593,81,-1163
-301,-322,-869
-251,-346,-919
-466,-223,-1016
-537,-304,-940
-176,-503,-746
248,-718,-498
510,-605,-343
604,-231,-211
338,-44,192
184,-12,672
178,138,1042
64,312,1014
-22,551,439
-4,703,-206
92,794,-570
169,827,-630
81,867,-269
-110,842,-14
-267,786,133
-303,697,263
-277,637,84
-180,754,-252
-142,807,-518
-239,726,-596
-173,596,-248
-103,679,43
-54,766,165
16,649,149
200,464,282
426,614,313
386,844,283
301,954,293
321,906,349
565,577,498
735,386,583
608,374,487
383,368,280
392,401,56
464,368,-244
565,304,-326
601,217,-246
523,274,-200
444,399,-98
431,423,89
483,320,318
478,81,667
298,-92,907
15,96,611
-254,426,36
-314,434,-429
-158,206,-779
25,1,-1076
72,150,-1299
-99,290,-1459
-70,683,-1460
-195,801,-1263
-342,221,-931
-64,-241,-861
278,-46,-967
1,4,-806
-408,-307,-428
-522,-586,291
-424,-343,811
-333,-334,960
-79,-460,931
336,-43,1434
452,121,2811
538,-151,4221
1187,-319,4145
1876,-468,2906
2407,10,1839
1941,255,2011
875,-53,2837
-513,-386,2344
-1103,-1566,484
-164,-2692,-693
560,-2274,-1065
213,-1345,-1165
-577,-185,-1470
-987,999,-2054
-941,1465,-2723
-620,1216,-3375
-249,911,-3897
-94,673,-4079
-313,500,-3835
-416,271,-3462
-412,-37,-3010
-267,-398,-2601
57,-464,-2467
-33,-152,-2380
-444,51,-2212
-723,15,-1974
-575,-452,-1414
-426,-955,-728
-207,-888,-130
-403,-293,500
-1418,288,975
-2285,726,1277
-1888,526,1304
-622,-67,1294
794,-434,998
1417,-220,956
901,-357,3736
-599,35,6115
-1049,324,5309
754,228,3804
2672,395,3994
2060,1085,5961
-317,971,6788
-1116,136,5532
-46,-418,3152
867,-482,1367
568,-483,592
-327,-611,516
-718,-1043,-98
-919,-1116,-1117
-1172,-1593,-1454
-1019,-1399,-1461
-847,-14,-1682
-622,1033,-1606
-742,1539,-1643
-1137,1638,-2332
-1120,1337,-3748
-600,1089,-4127
-357,930,-3731
-583,803,-3139
-387,538,-2651
-273,405,-2954
-54,110,-3272
54,-126,-3219
60,-221,-2914
-11,28,-2452
-365,215,-1994
-639,-30,-1638
-524,-248,-1620
-551,-426,-1405
-714,21,-995
-933,839,217
-1092,571,563
-370,188,135
1207,-457,636
1670,-733,1791
1024,-753,2476
337,-808,2574
606,-900,2656
1005,-956,2233
1005,-920,1888
739,-610,1977
308,-40,2352
-583,64,2607
-1160,55,2094
-999,-222,1183
-400,-642,517
45,-757,324
148,148,820
-885,845,1408
-1653,768,1273
-1291,216,522
-340,-221,-274
299,-744,-560
459,-679,-501
4,-304,-193
-571,56,172
-703,33,330
-393,-198,199
-51,-453,-11
25,-437,-43
-195,-167,2
-542,202,34
-633,256,-101
-247,18,-171
4,-159,-64
4,-119,21
-176,71,-96
-305,177,-315
-153,125,-247
20,236,-128
0,537,-216
-88,739,-411
-59,733,-625
198,599,-872
492,390,-988
645,402,-843
515,496,-807
375,527,-860
399,210,-998
746,-180,-961
952,-111,-928
548,238,-751
-64,294,-514
-184,-184,-287
166,-475,-224
276,-380,189
-229,-102,1050
-1076,-282,1636
-687,-835,2149
11,-1089,2786
-237,-1074,3321
-393,-1213,3500
-34,-1268,3388
607,-1250,3418
881,-1443,3614
773,-1304,3391
694,-824,2893
139,-47,1420
-401,579,62
-501,546,-886
-35,304,-1941
154,333,-3733
-585,1001,-4109
-671,1356,-2977
167,1276,-2534
374,1032,-3601
188,805,-4650
210,742,-4773
233,951,-4120
182,1260,-3590
-236,1002,-3079
-623,517,-3173
-534,273,-3086
-471,69,-2579
-683,-130,-1654
-739,-589,-319
-609,-1072,247
-288,-1644,-121
515,-1526,303
1563,-1663,2664
1794,-3311,5479
2016,-3501,5020
2550,-2834,4094
2509,-4360,7294
1882,-5935,8191
-412,-2321,8191
-1950,2267,4384
-1159,2898,456
959,1885,-1732
602,830,-1845
-1325,1131,-1749
-1967,1111,-2127
-1425,438,-3198
-48,136,-4554
879,229,-5185
427,418,-4666
-478,623,-4302
-655,1045,-4140
-711,934,-3674
-656,764,-3201
-671,471,-2915
-552,327,-3071
-559,120,-3107
-467,-93,-2599
-84,-355,-1541
-47,-221,-1359
247,89,-1612
1299,291,-1618
1766,637,-1016
1074,81,1434
857,-656,3740
896,-616,4389
895,-371,5071
523,-836,5884
267,-1690,5187
809,-1814,4189
880,-1008,5698
-535,-391,6706
-1778,-245,3937
-1615,-268,-245
-440,-1,-2438
-78,188,-1773
-1692,453,-439
-2465,938,-531
-2494,777,-1474
-1982,-38,-2481
-611,-225,-3549
586,371,-3980
929,898,-3550
19,1370,-2705
-687,1585,-2163
-616,1517,-2104
-96,1324,-2377
422,1001,-2628
660,830,-2251
465,746,-1399
563,423,-519
473,163,165
668,-503,1566
1662,-1327,3918
2222,-1395,6331
1506,-579,7712
666,71,7142
609,920,6391
529,-120,7545
529,-1282,6575
553,-1075,3366
70,-209,315
-845,778,-1886
-1145,1423,-2767
-998,2073,-3251
-753,2387,-4617
-581,2079,-5811
-438,1519,-5153
-588,902,-3624
-665,1047,-2663
-477,1480,-2057
-341,1122,-2511
-657,462,-4691
-26,-442,-4991
558,-1079,-3265
334,-1101,-1661
88,-1040,-541
301,-1317,-143
1593,-1506,-765
2894,-1470,-754
2601,-1225,787
1537,-1346,3291
923,-1202,4915
822,-738,4499
1141,-153,2472
1139,-51,-17
661,-235,-731
86,-139,416
-739,524,1584
-1330,902,1899
-1446,680,1318
-843,106,546
-310,-115,104
-362,-77,163
-789,-17,371
-833,-50,557
-718,-123,638
-654,-131,412
-570,-28,14
-536,1,-296
-520,-128,-278
-612,-177,-228
-714,15,-142
-741,48,-157
-543,-219,-233
-522,-651,-255
-490,-688,-47
-559,-367,610
-862,44,1082
-991,279,938
